School,School Code,Attendance Year,School Type,School Category,EQ Zone,Region,Local Government Area,FTE Days Attended,Possible Attendance Days,Attendance Rate
Tarampa State School,271,2011,State School,Primary,Rural,Metropolitan,Somerset (R),5731,5914,96.9%
Tarampa State School,271,2012,State School,Primary,Rural,Metropolitan,Somerset (R),6234.5,6678,93.4%
Tarampa State School,271,2013,State School,Primary,Rural,Metropolitan,Somerset (R),7061,7703,91.7%
Tarampa State School,271,2014,State School,Primary,Rural,Metropolitan,Somerset (R),7704.5,8502,90.6%
Tarampa State School,271,2015,State School,Primary,Rural,Metropolitan,Somerset (R),7737.5,8334,92.8%
Taranganba State School,1992,2011,State School,Primary,Rural,Central Queensland,Livingstone (S),68923,74149,93.0%
Taranganba State School,1992,2012,State School,Primary,Rural,Central Queensland,Livingstone (S),67085,72628,92.4%
Taranganba State School,1992,2013,State School,Primary,Rural,Central Queensland,Livingstone (S),65234.5,70771,92.2%
Taranganba State School,1992,2014,State School,Primary,Rural,Central Queensland,Livingstone (S),71063.5,77166,92.1%
Taranganba State School,1992,2015,State School,Primary,Rural,Central Queensland,Livingstone (S),58613,62992,93.0%
Taroom State School,105,2011,State School,Combined,Remote,Darling Downs South West,Banana (S),11483.5,12577,91.3%
Taroom State School,105,2012,State School,Combined,Remote,Darling Downs South West,Banana (S),10933.5,12294,88.9%
Taroom State School,105,2013,State School,Combined,Remote,Darling Downs South West,Banana (S),11713,12651,92.6%
Taroom State School,105,2014,State School,Combined,Remote,Darling Downs South West,Banana (S),12655,14065.5,90.0%
Taroom State School,105,2015,State School,Combined,Remote,Darling Downs South West,Banana (S),13950,15280,91.3%
Teelba State School,494,2011,State School,Primary,Remote,Darling Downs South West,Maranoa (R),1408.5,1477,95.4%
Teelba State School,494,2012,State School,Primary,Remote,Darling Downs South West,Maranoa (R),1555,1632,95.3%
Teelba State School,494,2013,State School,Primary,Remote,Darling Downs South West,Maranoa (R),1606,1689,95.1%
Teelba State School,494,2014,State School,Primary,Remote,Darling Downs South West,Maranoa (R),1910.5,2001,95.5%
Teelba State School,494,2015,State School,Primary,Remote,Darling Downs South West,Maranoa (R),2011.5,2134,94.3%
Tennyson Special School,3036,2012,Specific Purpose School,Special,Metropolitan,Metropolitan,Brisbane (C),161,235,68.5%
Tennyson Special School,3036,2013,Specific Purpose School,Special,Metropolitan,Metropolitan,Brisbane (C),44,70,62.9%
Tent Hill Lower State School,106,2011,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),5266.5,5595,94.1%
Tent Hill Lower State School,106,2012,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),5017.5,5371,93.4%
Tent Hill Lower State School,106,2013,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),5662,6172,91.7%
Tent Hill Lower State School,106,2014,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),5457,5913,92.3%
Tent Hill Lower State School,106,2015,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),4693,5026,93.4%
Tewantin State School,181,2011,State School,Primary,Metropolitan,North Coast,Noosa (S),61174.5,65854,92.9%
Tewantin State School,181,2012,State School,Primary,Metropolitan,North Coast,Noosa (S),59050.5,62869,93.9%
Tewantin State School,181,2013,State School,Primary,Metropolitan,North Coast,Noosa (S),56555,61073,92.6%
Tewantin State School,181,2014,State School,Primary,Metropolitan,North Coast,Noosa (S),59628.5,64322,92.7%
Tewantin State School,181,2015,State School,Primary,Metropolitan,North Coast,Noosa (S),54943.5,59344,92.6%
Texas P-10 State School,437,2011,State School,Combined,Remote,Darling Downs South West,Goondiwindi (R),14268.5,15711,90.8%
Texas P-10 State School,437,2012,State School,Combined,Remote,Darling Downs South West,Goondiwindi (R),16545,17804,92.9%
Texas P-10 State School,437,2013,State School,Combined,Remote,Darling Downs South West,Goondiwindi (R),17081.5,18821,90.8%
Texas P-10 State School,437,2014,State School,Combined,Remote,Darling Downs South West,Goondiwindi (R),18012,19231,93.7%
Texas P-10 State School,437,2015,State School,Combined,Remote,Darling Downs South West,Goondiwindi (R),17994,19425,92.6%
Thabeban State School,1573,2011,State School,Primary,Provincial City,North Coast,Bundaberg (R),18589.5,20172,92.2%
Thabeban State School,1573,2012,State School,Primary,Provincial City,North Coast,Bundaberg (R),15574,16880,92.3%
Thabeban State School,1573,2013,State School,Primary,Provincial City,North Coast,Bundaberg (R),13134.5,14567,90.2%
Thabeban State School,1573,2014,State School,Primary,Provincial City,North Coast,Bundaberg (R),15711.5,17090,91.9%
Thabeban State School,1573,2015,State School,Primary,Provincial City,North Coast,Bundaberg (R),14041,15753,89.1%
Thallon State School,1278,2011,State School,Primary,Remote,Darling Downs South West,Balonne (S),4140,4520,91.6%
Thallon State School,1278,2012,State School,Primary,Remote,Darling Downs South West,Balonne (S),3371.5,3834,87.9%
Thallon State School,1278,2013,State School,Primary,Remote,Darling Downs South West,Balonne (S),3504.5,3894,90.0%
Thallon State School,1278,2014,State School,Primary,Remote,Darling Downs South West,Balonne (S),3413,3716,91.8%
Thallon State School,1278,2015,State School,Primary,Remote,Darling Downs South West,Balonne (S),3225,3405,94.7%
Thangool State School,1840,2011,State School,Primary,Rural,Central Queensland,Banana (S),9341.5,9933,94.0%
Thangool State School,1840,2012,State School,Primary,Rural,Central Queensland,Banana (S),9241,9875,93.6%
Thangool State School,1840,2013,State School,Primary,Rural,Central Queensland,Banana (S),8897,9470,93.9%
Thangool State School,1840,2014,State School,Primary,Rural,Central Queensland,Banana (S),10225.5,11084,92.3%
Thangool State School,1840,2015,State School,Primary,Rural,Central Queensland,Banana (S),11100.5,11727,94.7%
Thargomindah State School,409,2011,State School,Primary,Remote,Darling Downs South West,Bulloo (S),2409.5,2681,89.9%
Thargomindah State School,409,2012,State School,Primary,Remote,Darling Downs South West,Bulloo (S),2593.5,2860,90.7%
Thargomindah State School,409,2013,State School,Primary,Remote,Darling Downs South West,Bulloo (S),2381.5,2685,88.7%
Thargomindah State School,409,2014,State School,Primary,Remote,Darling Downs South West,Bulloo (S),3387.5,3624,93.5%
Thargomindah State School,409,2015,State School,Primary,Remote,Darling Downs South West,Bulloo (S),2241.5,2414,92.9%
The Caves State School,1018,2011,State School,Primary,Rural,Central Queensland,Livingstone (S),10100.5,10698,94.4%
The Caves State School,1018,2012,State School,Primary,Rural,Central Queensland,Livingstone (S),8409.5,8973,93.7%
The Caves State School,1018,2013,State School,Primary,Rural,Central Queensland,Livingstone (S),7708,8235,93.6%
The Caves State School,1018,2014,State School,Primary,Rural,Central Queensland,Livingstone (S),6852,7262,94.4%
The Caves State School,1018,2015,State School,Primary,Rural,Central Queensland,Livingstone (S),6420.5,6673,96.2%
The Gap State High School,2053,2011,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),93582,102732,91.1%
The Gap State High School,2053,2012,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),87967,94557,93.0%
The Gap State High School,2053,2013,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),88297.5,94577.5,93.4%
The Gap State High School,2053,2014,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),94054.5,102131,92.1%
The Gap State High School,2053,2015,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),109419.5,117382,93.2%
The Gap State School,1302,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),35512,37637,94.4%
The Gap State School,1302,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),35121.5,36866,95.3%
The Gap State School,1302,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),37965.5,40084,94.7%
The Gap State School,1302,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),41752.5,44162,94.5%
The Gap State School,1302,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),45071.5,47620,94.6%
The Gums State School,1360,2011,State School,Primary,Rural,Darling Downs South West,Western Downs (R),1835,1980,92.7%
The Gums State School,1360,2012,State School,Primary,Rural,Darling Downs South West,Western Downs (R),1820,1955,93.1%
The Gums State School,1360,2013,State School,Primary,Rural,Darling Downs South West,Western Downs (R),1639,1740,94.2%
The Gums State School,1360,2014,State School,Primary,Rural,Darling Downs South West,Western Downs (R),2427,2570,94.4%
The Gums State School,1360,2015,State School,Primary,Rural,Darling Downs South West,Western Downs (R),2166,2283,94.9%
The Hall State School,1195,2011,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),28585,31226,91.5%
The Hall State School,1195,2012,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),30032.5,32352.5,92.8%
The Hall State School,1195,2013,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),29969,33196,90.3%
The Hall State School,1195,2014,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),27414.5,30329,90.4%
The Hall State School,1195,2015,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),24837,27440,90.5%
The Summit State School,1714,2011,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),4559,5008,91.0%
The Summit State School,1714,2012,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),3973.5,4290,92.6%
The Summit State School,1714,2013,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),4303,4618,93.2%
The Summit State School,1714,2014,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),4097,4442,92.2%
The Summit State School,1714,2015,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),4488,4813,93.2%
The Willows State School,287,2011,State School,Primary,Metropolitan,North Queensland,Townsville (C),97867.5,106328,92.0%
The Willows State School,287,2012,State School,Primary,Metropolitan,North Queensland,Townsville (C),95284,103151,92.4%
The Willows State School,287,2013,State School,Primary,Metropolitan,North Queensland,Townsville (C),93210,100099,93.1%
The Willows State School,287,2014,State School,Primary,Metropolitan,North Queensland,Townsville (C),98285,105657,93.0%
The Willows State School,287,2015,State School,Primary,Metropolitan,North Queensland,Townsville (C),90631,96840,93.6%
Theebine State School,579,2011,State School,Primary,Rural,North Coast,Gympie (R),969,990,97.9%
Theebine State School,579,2012,State School,Primary,Rural,North Coast,Gympie (R),1520,1672,90.9%
Theebine State School,579,2013,State School,Primary,Rural,North Coast,Gympie (R),1139.5,1301,87.6%
Theebine State School,579,2014,State School,Primary,Rural,North Coast,Gympie (R),860,939,91.6%
Theebine State School,579,2015,State School,Primary,Rural,North Coast,Gympie (R),586,618,94.8%
Theodore State School,676,2011,State School,Combined,Remote,Central Queensland,Banana (S),14113.5,15545,90.8%
Theodore State School,676,2012,State School,Combined,Remote,Central Queensland,Banana (S),12832,14489,88.6%
Theodore State School,676,2013,State School,Combined,Remote,Central Queensland,Banana (S),12403.5,13715,90.4%
Theodore State School,676,2014,State School,Combined,Remote,Central Queensland,Banana (S),12283.5,13300,92.4%
Theodore State School,676,2015,State School,Combined,Remote,Central Queensland,Banana (S),10824.5,11545,93.8%
Thornlands State School,1240,2011,State School,Primary,Metropolitan,South East,Redland (C),61098.5,65553,93.2%
Thornlands State School,1240,2012,State School,Primary,Metropolitan,South East,Redland (C),60903,65877,92.4%
Thornlands State School,1240,2013,State School,Primary,Metropolitan,South East,Redland (C),58681.5,63081,93.0%
Thornlands State School,1240,2014,State School,Primary,Metropolitan,South East,Redland (C),63178,67838,93.1%
Thornlands State School,1240,2015,State School,Primary,Metropolitan,South East,Redland (C),67013,71603,93.6%
Thornton State School,245,2011,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),3873,4175,92.8%
Thornton State School,245,2012,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),2989,3160,94.6%
Thornton State School,245,2013,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),3061,3264,93.8%
Thornton State School,245,2014,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),3264,3473,94.0%
Thornton State School,245,2015,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),2738.5,2951,92.8%
Thulimbah State School,803,2011,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),3388,3477,97.4%
Thulimbah State School,803,2012,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),3499,3800,92.1%
Thulimbah State School,803,2013,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),3403,3578,95.1%
Thulimbah State School,803,2014,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),2879.5,3065,93.9%
Thulimbah State School,803,2015,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),2936,3119,94.1%
Thuringowa State High School,2172,2011,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),41526,51920,80.0%
Thuringowa State High School,2172,2012,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),37694,45911.5,82.1%
Thuringowa State High School,2172,2013,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),43752.5,52436,83.4%
Thuringowa State High School,2172,2014,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),45268.5,55092,82.2%
Thuringowa State High School,2172,2015,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),55137,66784,82.6%
Tiaro State School,107,2011,State School,Primary,Rural,North Coast,Fraser Coast (R),3617,3990,90.7%
Tiaro State School,107,2012,State School,Primary,Rural,North Coast,Fraser Coast (R),1554.5,1715,90.6%
Tiaro State School,107,2013,State School,Primary,Rural,North Coast,Fraser Coast (R),2418.5,2730,88.6%
Tiaro State School,107,2014,State School,Primary,Rural,North Coast,Fraser Coast (R),2373,2597,91.4%
Tiaro State School,107,2015,State School,Primary,Rural,North Coast,Fraser Coast (R),2893.5,3176,91.1%
Tieri State School,1926,2011,State School,Primary,Remote,Central Queensland,Central Highlands (R),17035.5,19062,89.4%
Tieri State School,1926,2012,State School,Primary,Remote,Central Queensland,Central Highlands (R),18487.5,20477,90.3%
Tieri State School,1926,2013,State School,Primary,Remote,Central Queensland,Central Highlands (R),18415.5,20225,91.1%
Tieri State School,1926,2014,State School,Primary,Remote,Central Queensland,Central Highlands (R),18567,20080,92.5%
Tieri State School,1926,2015,State School,Primary,Remote,Central Queensland,Central Highlands (R),16749.5,18049,92.8%
Tin Can Bay State School,577,2011,State School,Combined,Rural,North Coast,Gympie (R),33864,37001,91.5%
Tin Can Bay State School,577,2012,State School,Combined,Rural,North Coast,Gympie (R),32102.5,35352.5,90.8%
Tin Can Bay State School,577,2013,State School,Combined,Rural,North Coast,Gympie (R),34158.5,39181,87.2%
Tin Can Bay State School,577,2014,State School,Combined,Rural,North Coast,Gympie (R),36486.5,41001,89.0%
Tin Can Bay State School,577,2015,State School,Combined,Rural,North Coast,Gympie (R),32891,37615,87.4%
Tinana State School,216,2011,State School,Primary,Rural,North Coast,Fraser Coast (R),46814,50077,93.5%
Tinana State School,216,2012,State School,Primary,Rural,North Coast,Fraser Coast (R),43803.5,46494,94.2%
Tinana State School,216,2013,State School,Primary,Rural,North Coast,Fraser Coast (R),44162.5,47050.5,93.9%
Tinana State School,216,2014,State School,Primary,Rural,North Coast,Fraser Coast (R),47697.5,51333,92.9%
Tinana State School,216,2015,State School,Primary,Rural,North Coast,Fraser Coast (R),45736,48926.5,93.5%
Tingalpa State School,127,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),28092,30145,93.2%
Tingalpa State School,127,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),30519,32380,94.3%
Tingalpa State School,127,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),27765.5,29828,93.1%
Tingalpa State School,127,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),31982.5,34180,93.6%
Tingalpa State School,127,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),30718.5,32841,93.5%
Tingoora State School,864,2011,State School,Primary,Rural,Darling Downs South West,South Burnett (R),2636.5,2979,88.5%
Tingoora State School,864,2012,State School,Primary,Rural,Darling Downs South West,South Burnett (R),3102,3258,95.2%
Tingoora State School,864,2013,State School,Primary,Rural,Darling Downs South West,South Burnett (R),3201.5,3469,92.3%
Tingoora State School,864,2014,State School,Primary,Rural,Darling Downs South West,South Burnett (R),3901.5,4217,92.5%
Tingoora State School,864,2015,State School,Primary,Rural,Darling Downs South West,South Burnett (R),3272.5,3515,93.1%
Tivoli State School,224,2011,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),7554.5,8134,92.9%
Tivoli State School,224,2012,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),7840,8831,88.8%
Tivoli State School,224,2013,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),8282,9185,90.2%
Tivoli State School,224,2014,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),10319,11190,92.2%
Tivoli State School,224,2015,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),10851,12123.5,89.5%
Tolga State School,629,2011,State School,Primary,Rural,Far North Queensland,Tablelands (R),28749,30484,94.3%
Tolga State School,629,2012,State School,Primary,Rural,Far North Queensland,Tablelands (R),29564,31419,94.1%
Tolga State School,629,2013,State School,Primary,Rural,Far North Queensland,Tablelands (R),31641.5,33655,94.0%
Tolga State School,629,2014,State School,Primary,Rural,Far North Queensland,Tablelands (R),34893.5,37200.5,93.8%
Tolga State School,629,2015,State School,Primary,Rural,Far North Queensland,Tablelands (R),34494.5,36523,94.4%
Toobanna State School,1777,2011,State School,Primary,Rural,North Queensland,Hinchinbrook (S),1288,1543,83.5%
Toobanna State School,1777,2012,State School,Primary,Rural,North Queensland,Hinchinbrook (S),1263,1343,94.0%
Toobanna State School,1777,2013,State School,Primary,Rural,North Queensland,Hinchinbrook (S),632,658,96.0%
Toobanna State School,1777,2014,State School,Primary,Rural,North Queensland,Hinchinbrook (S),890.5,981,90.8%
Toobanna State School,1777,2015,State School,Primary,Rural,North Queensland,Hinchinbrook (S),1260,1454,86.7%
Toogoolawah State High School,2179,2011,State High School,Secondary,Rural,Darling Downs South West,Somerset (R),18802.5,21142,88.9%
Toogoolawah State High School,2179,2012,State High School,Secondary,Rural,Darling Downs South West,Somerset (R),18253.5,19583,93.2%
Toogoolawah State High School,2179,2013,State High School,Secondary,Rural,Darling Downs South West,Somerset (R),17675,20020,88.3%
Toogoolawah State High School,2179,2014,State High School,Secondary,Rural,Darling Downs South West,Somerset (R),17763.5,20060,88.6%
Toogoolawah State High School,2179,2015,State High School,Secondary,Rural,Darling Downs South West,Somerset (R),22262,24667,90.3%
Toogoolawah State School,1069,2011,State School,Primary,Rural,Darling Downs South West,Somerset (R),14913.5,16085,92.7%
Toogoolawah State School,1069,2012,State School,Primary,Rural,Darling Downs South West,Somerset (R),13949,14890,93.7%
Toogoolawah State School,1069,2013,State School,Primary,Rural,Darling Downs South West,Somerset (R),15867.5,17084.5,92.9%
Toogoolawah State School,1069,2014,State School,Primary,Rural,Darling Downs South West,Somerset (R),16733.5,18064,92.6%
Toogoolawah State School,1069,2015,State School,Primary,Rural,Darling Downs South West,Somerset (R),16854,17798,94.7%
Toolooa State High School,2152,2011,State High School,Secondary,Provincial City,Central Queensland,Gladstone (R),65097.5,74129,87.8%
Toolooa State High School,2152,2012,State High School,Secondary,Provincial City,Central Queensland,Gladstone (R),60473.5,69218.5,87.4%
Toolooa State High School,2152,2013,State High School,Secondary,Provincial City,Central Queensland,Gladstone (R),66320.5,76823,86.3%
Toolooa State High School,2152,2014,State High School,Secondary,Provincial City,Central Queensland,Gladstone (R),76723,85673,89.6%
Toolooa State High School,2152,2015,State High School,Secondary,Provincial City,Central Queensland,Gladstone (R),84747.5,95193,89.0%
Toowong State School,13,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),22941.5,24301,94.4%
Toowong State School,13,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),21981,23450,93.7%
Toowong State School,13,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),21902.5,23500,93.2%
Toowong State School,13,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),21719.5,22979,94.5%
Toowong State School,13,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),22706.5,23961,94.8%
Toowoomba East State School,499,2011,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),74326,79602,93.4%
Toowoomba East State School,499,2012,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),75795,80831,93.8%
Toowoomba East State School,499,2013,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),73428,78445,93.6%
Toowoomba East State School,499,2014,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),77842.5,83223,93.5%
Toowoomba East State School,499,2015,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),73515,78223,94.0%
Toowoomba North State School,110,2011,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),14678,16158,90.8%
Toowoomba North State School,110,2012,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),13661.5,14820,92.2%
Toowoomba North State School,110,2013,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),14021,15485.5,90.5%
Toowoomba North State School,110,2014,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),14245,15694.5,90.8%
Toowoomba North State School,110,2015,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),13085.5,14307,91.5%
Toowoomba South State School,112,2011,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),5464,6062,90.1%
Toowoomba South State School,112,2012,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),5340,5970,89.4%
Toowoomba South State School,112,2013,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),5592.5,6343,88.2%
Toowoomba State High School,2013,2011,State High School,Secondary,Provincial City,Darling Downs South West,Toowoomba (R),143045.5,164085,87.2%
Toowoomba State High School,2013,2012,State High School,Secondary,Provincial City,Darling Downs South West,Toowoomba (R),140082.5,154908.5,90.4%
Toowoomba State High School,2013,2013,State High School,Secondary,Provincial City,Darling Downs South West,Toowoomba (R),130539,146160,89.3%
Toowoomba State High School,2013,2014,State High School,Secondary,Provincial City,Darling Downs South West,Toowoomba (R),131389.5,146168,89.9%
Toowoomba State High School,2013,2015,State High School,Secondary,Provincial City,Darling Downs South West,Toowoomba (R),143632,160927,89.3%
Toowoomba West Special School,3032,2011,Special School,Special,Provincial City,Darling Downs South West,Toowoomba (R),5889.5,6701,87.9%
Toowoomba West Special School,3032,2012,Special School,Special,Provincial City,Darling Downs South West,Toowoomba (R),6113.5,6678,91.5%
Toowoomba West Special School,3032,2013,Special School,Special,Provincial City,Darling Downs South West,Toowoomba (R),5659.5,6494,87.1%
Toowoomba West Special School,3032,2014,Special School,Special,Provincial City,Darling Downs South West,Toowoomba (R),5488.5,6314,86.9%
Toowoomba West Special School,3032,2015,Special School,Special,Provincial City,Darling Downs South West,Toowoomba (R),5132,5705,90.0%
Torbanlea State School,522,2011,State School,Primary,Rural,North Coast,Fraser Coast (R),30383.5,32948,92.2%
Torbanlea State School,522,2012,State School,Primary,Rural,North Coast,Fraser Coast (R),30929,33852,91.4%
Torbanlea State School,522,2013,State School,Primary,Rural,North Coast,Fraser Coast (R),31690,34834,91.0%
Torbanlea State School,522,2014,State School,Primary,Rural,North Coast,Fraser Coast (R),32528,35700,91.1%
Torbanlea State School,522,2015,State School,Primary,Rural,North Coast,Fraser Coast (R),35585.5,38937,91.4%
Torquay State School,945,2011,State School,Primary,Provincial City,North Coast,Fraser Coast (R),42946,46660,92.0%
Torquay State School,945,2012,State School,Primary,Provincial City,North Coast,Fraser Coast (R),43261,47541,91.0%
Torquay State School,945,2013,State School,Primary,Provincial City,North Coast,Fraser Coast (R),43843.5,48521.5,90.4%
Torquay State School,945,2014,State School,Primary,Provincial City,North Coast,Fraser Coast (R),45676.5,50228,90.9%
Torquay State School,945,2015,State School,Primary,Provincial City,North Coast,Fraser Coast (R),42437,46269,91.7%
Townsville Central State School,113,2011,State School,Primary,Metropolitan,North Queensland,Townsville (C),25460,27492,92.6%
Townsville Central State School,113,2012,State School,Primary,Metropolitan,North Queensland,Townsville (C),27100.5,28959,93.6%
Townsville Central State School,113,2013,State School,Primary,Metropolitan,North Queensland,Townsville (C),26773,28653,93.4%
Townsville Central State School,113,2014,State School,Primary,Metropolitan,North Queensland,Townsville (C),26563.5,28928,91.8%
Townsville Central State School,113,2015,State School,Primary,Metropolitan,North Queensland,Townsville (C),22200.5,24537,90.5%
Townsville Community Learning Centre - A State Special School,2376,2011,Special School,Special,Metropolitan,North Queensland,Townsville (C),6497.5,7565,85.9%
Townsville Community Learning Centre - A State Special School,2376,2012,Special School,Special,Metropolitan,North Queensland,Townsville (C),7843,8854,88.6%
Townsville Community Learning Centre - A State Special School,2376,2013,Special School,Special,Metropolitan,North Queensland,Townsville (C),8433.5,9567,88.2%
Townsville Community Learning Centre - A State Special School,2376,2014,Special School,Special,Metropolitan,North Queensland,Townsville (C),10030,11666.5,86.0%
Townsville Community Learning Centre - A State Special School,2376,2015,Special School,Special,Metropolitan,North Queensland,Townsville (C),11806,13652,86.5%
Townsville South State School,303,2011,State School,Primary,Metropolitan,North Queensland,Townsville (C),4429.5,4943,89.6%
Townsville South State School,303,2012,State School,Primary,Metropolitan,North Queensland,Townsville (C),6148,6499,94.6%
Townsville South State School,303,2013,State School,Primary,Metropolitan,North Queensland,Townsville (C),5850,6393,91.5%
Townsville South State School,303,2014,State School,Primary,Metropolitan,North Queensland,Townsville (C),9165.5,10274,89.2%
Townsville South State School,303,2015,State School,Primary,Metropolitan,North Queensland,Townsville (C),10445,11452,91.2%
Townsville State High School,2100,2011,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),49796.5,58766,84.7%
Townsville State High School,2100,2012,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),47610.5,55551.5,85.7%
Townsville State High School,2100,2013,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),52959.5,61397,86.3%
Townsville State High School,2100,2014,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),57164,66309,86.2%
Townsville State High School,2100,2015,State High School,Secondary,Metropolitan,North Queensland,Townsville (C),65863.5,74307,88.6%
Townsville West State School,498,2011,State School,Primary,Metropolitan,North Queensland,Townsville (C),9805,10805,90.7%
Townsville West State School,498,2012,State School,Primary,Metropolitan,North Queensland,Townsville (C),10337.5,11491,90.0%
Townsville West State School,498,2013,State School,Primary,Metropolitan,North Queensland,Townsville (C),10858.5,12306,88.2%
Townsville West State School,498,2014,State School,Primary,Metropolitan,North Queensland,Townsville (C),12510.5,14465,86.5%
Townsville West State School,498,2015,State School,Primary,Metropolitan,North Queensland,Townsville (C),9400,10471,89.8%
Townview State School,1203,2011,State School,Primary,Remote,North Queensland,Mount Isa (C),26503.5,30454,87.0%
Townview State School,1203,2012,State School,Primary,Remote,North Queensland,Mount Isa (C),27901,31944,87.3%
Townview State School,1203,2013,State School,Primary,Remote,North Queensland,Mount Isa (C),25571,30336.5,84.3%
Townview State School,1203,2014,State School,Primary,Remote,North Queensland,Mount Isa (C),22624,26338,85.9%
Townview State School,1203,2015,State School,Primary,Remote,North Queensland,Mount Isa (C),23157,27132,85.3%
Trebonne State School,1118,2011,State School,Primary,Rural,North Queensland,Hinchinbrook (S),2235.5,2673,83.6%
Trebonne State School,1118,2012,State School,Primary,Rural,North Queensland,Hinchinbrook (S),1901.5,1996,95.3%
Trebonne State School,1118,2013,State School,Primary,Rural,North Queensland,Hinchinbrook (S),1593,1733,91.9%
Trebonne State School,1118,2014,State School,Primary,Rural,North Queensland,Hinchinbrook (S),1668.5,1752,95.2%
Trebonne State School,1118,2015,State School,Primary,Rural,North Queensland,Hinchinbrook (S),1137.5,1171,97.1%
Tresswell State School,420,2011,State School,Primary,Remote,Central Queensland,Central Highlands (R),689,891,77.3%
Tresswell State School,420,2012,State School,Primary,Remote,Central Queensland,Central Highlands (R),490,760,64.5%
Tresswell State School,420,2013,State School,Primary,Remote,Central Queensland,Central Highlands (R),513,540,95.0%
Tresswell State School,420,2014,State School,Primary,Remote,Central Queensland,Central Highlands (R),405,472,85.8%
