School Name,Centre Code,Region,Local Government Area,LOTE Language,School Category,Year 7 as Secondary,Year Level Sector
Taigum State School,1112,Metropolitan,Brisbane (C),German,Primary,No,P
Talara Primary College,0462,North Coast,Sunshine Coast (R),Italian,Primary,No,P
Tallebudgera State School,0201,South East,Gold Coast (C),Japanese,Primary,No,P
Tambo State School,0150,Darling Downs South West,Blackall Tambo (R),Japanese,Combined,No,P
Tamborine Mountain State High School,2265,South East,Scenic Rim (R),Japanese,Secondary,No,S
Tamborine Mountain State School,0913,South East,Scenic Rim (R),Japanese,Primary,No,P
Tamrookum State School,1252,South East,Scenic Rim (R),Japanese,Primary,No,P
Tanduringie State School,1446,Darling Downs South West,South Burnett (R),Indonesian,Primary,No,P
Tannum Sands State High School,0231,Central Queensland,Gladstone (R),Chinese,Secondary,No,S
Tannum Sands State High School,0231,Central Queensland,Gladstone (R),French,Secondary,No,S
Tannum Sands State High School,0231,Central Queensland,Gladstone (R),Japanese,Secondary,No,S
Tannum Sands State School,1921,Central Queensland,Gladstone (R),Japanese,Primary,No,P
Tannymorel State School,0295,Darling Downs South West,Southern Downs (R),French,Primary,No,P
Tara Shire State College,1357,Darling Downs South West,Western Downs (R),Japanese,Combined,No,P/S
Tarampa State School,0271,Metropolitan,Somerset (R),German,Primary,No,P
Taranganba State School,1992,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Taroom State School,0105,Darling Downs South West,Banana (S),Japanese,Combined,No,P/S
Teelba State School,0494,Darling Downs South West,Maranoa (R),Japanese,Primary,No,P
Tent Hill Lower State School,0106,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Tewantin State School,0181,North Coast,Sunshine Coast (R),Italian,Primary,No,P
Texas P-10 State School,0437,Darling Downs South West,Goondiwindi (R),Indonesian,Combined,No,P/S
Thabeban State School,1573,North Coast,Bundaberg (R),LOTE,Primary,No,P
Thangool State School,1840,Central Queensland,Banana (S),Japanese,Primary,No,P
Thargomindah State School,0409,Darling Downs South West,Bulloo (S),Japanese,Primary,No,P
The Caves State School,1018,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
The Gap State High School,2053,Metropolitan,Brisbane (C),Chinese,Secondary,Yes,P/S
The Gap State School,1302,Metropolitan,Brisbane (C),Chinese,Primary,No,P
The Gums State School,1360,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
The Hall State School,1195,Central Queensland,Rockhampton (R),Chinese,Primary,No,P
The Summit State School,1714,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
The Willows State School,0287,North Queensland,Townsville (C),Japanese,Primary,No,P
Theebine State School,0579,North Coast,Gympie (R),German,Primary,No,P
Theodore State School,0676,Central Queensland,Banana (S),Japanese,Combined,No,P/S
Thornlands State School,1240,South East,Redland (C),Chinese,Primary,No,P
Thornlands State School,1240,South East,Redland (C),Japanese,Primary,No,P
Thornton State School,0245,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Thulimbah State School,0803,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Thuringowa State High School,2172,North Queensland,Townsville (C),Japanese,Secondary,No,S
Tiaro State School,0107,North Coast,Fraser Coast (R),German,Primary,No,P
Tieri State School,1926,Central Queensland,Central Highlands (R),Japanese,Primary,No,P
Tin Can Bay State School,0577,North Coast,Gympie (R),German,Combined,No,P/S
Tinana State School,0216,North Coast,Fraser Coast (R),German,Primary,No,P
Tingalpa State School,0127,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Tingoora State School,0864,Darling Downs South West,South Burnett (R),Japanese,Primary,No,P
Tivoli State School,0224,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Tolga State School,0629,Far North Queensland,Tablelands (R),Japanese,Primary,No,P
Toogoolawah State High School,2179,Darling Downs South West,Somerset (R),Indonesian,Secondary,No,S
Toogoolawah State School,1069,Darling Downs South West,Somerset (R),Indonesian,Primary,No,P
Toolooa State High School,2152,Central Queensland,Gladstone (R),Japanese,Secondary,Yes,P/S
Toowong State School,0013,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Toowoomba East State School,0499,Darling Downs South West,Toowoomba (R),Japanese,Primary,No,P
Toowoomba North State School,0110,Darling Downs South West,Toowoomba (R),German,Primary,No,P
Toowoomba South State School,0112,Darling Downs South West,Toowoomba (R),Chinese,Primary,No,P
Toowoomba State High School,2013,Darling Downs South West,Toowoomba (R),German,Secondary,No,S
Toowoomba State High School,2013,Darling Downs South West,Toowoomba (R),Japanese,Secondary,No,S
Toowoomba State High School - Wilsonton Campus,0468,Darling Downs South West,Toowoomba (R),German,Secondary,No,S
Toowoomba State High School - Wilsonton Campus,0468,Darling Downs South West,Toowoomba (R),Japanese,Secondary,No,S
Torbanlea State School,0522,North Coast,Fraser Coast (R),Chinese,Primary,No,P
Torquay State School,0945,North Coast,Fraser Coast (R),Chinese,Primary,No,P
Townsville Central State School,0113,North Queensland,Townsville (C),Japanese,Primary,No,P
Townsville South State School,0303,North Queensland,Townsville (C),Japanese,Primary,No,P
Townsville State High School,2100,North Queensland,Townsville (C),Japanese,Secondary,No,S
Townsville West State School,0498,North Queensland,Townsville (C),Japanese,Primary,No,P
Townview State School,1203,North Queensland,Mount Isa (C),Japanese,Primary,No,P
Trebonne State School,1118,North Queensland,Hinchinbrook (S),Italian,Primary,No,P
Tresswell State School,0420,Central Queensland,Central Highlands (R),Japanese,Primary,No,P
Trinity Bay State High School,2057,Far North Queensland,Cairns (R),Auslan,Secondary,No,S
Trinity Bay State High School,2057,Far North Queensland,Cairns (R),Chinese,Secondary,No,S
Trinity Bay State High School,2057,Far North Queensland,Cairns (R),Japanese,Secondary,No,S
Trinity Beach State School,1893,Far North Queensland,Cairns (R),Indonesian,Primary,No,P
Tullawong State High School,2188,North Coast,Moreton Bay (R),Chinese,Secondary,No,S
Tullawong State School,1994,North Coast,Moreton Bay (R),Chinese,Primary,No,P
Tully State High School,2103,Far North Queensland,Cassowary Coast (R),Indonesian,Secondary,No,S
Tully State School,1008,Far North Queensland,Cassowary Coast (R),Indonesian,Primary,No,P
Two Mile State School,0361,North Coast,Gympie (R),German,Primary,No,P
Ubobo State School,0879,Central Queensland,Gladstone (R),Japanese,Primary,No,P
Undurba State School,1877,North Coast,Moreton Bay (R),Spanish,Primary,No,P
Upper Brookfield State School,1501,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Upper Coomera State College,2340,South East,Gold Coast (C),Japanese,Combined,No,P/S
Upper Mount Gravatt State School,0128,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Urandangi State School,1755,North Queensland,Boulia (S),LOTE,Primary,No,P
Urangan Point State School,1536,North Coast,Fraser Coast (R),Chinese,Primary,No,P
Urangan State High School,2110,North Coast,Fraser Coast (R),Chinese,Secondary,No,S
Vale View State School,0844,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Valkyrie State School,0403,Central Queensland,Isaac (R),Japanese,Primary,No,P
Varsity College,1759,South East,Gold Coast (C),Chinese,Combined,Yes,P/S
Veresdale Scrub State School,0869,South East,Scenic Rim (R),Japanese,Primary,No,P
Victoria Park State School,1855,Central Queensland,Mackay (R),Chinese,Primary,No,P
Victoria Plantation State School,0628,North Queensland,Hinchinbrook (S),Italian,Primary,No,P
Victoria Point State High School,0234,South East,Redland (C),German,Secondary,No,S
Victoria Point State High School,0234,South East,Redland (C),Japanese,Secondary,No,S
Victoria Point State School,1512,South East,Redland (C),Japanese,Primary,No,P
Vienna Woods State School,1936,South East,Redland (C),Italian,Primary,No,P
Vincent State School,0948,North Queensland,Townsville (C),LOTE,Primary,No,P
Virginia State School,1675,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Walkamin State School,0760,Far North Queensland,Tablelands (R),Japanese,Primary,No,P
Walkerston State School,0353,Central Queensland,Mackay (R),Japanese,Primary,No,P
Walkervale State School,0536,North Coast,Bundaberg (R),German,Primary,No,P
Wallangarra State School,0458,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Wallaville State School,1192,North Coast,Bundaberg (R),Japanese,Primary,No,P
Walloon State School,0285,Metropolitan,Ipswich (C),German,Primary,No,P
Wallumbilla State School,0182,Darling Downs South West,Maranoa (R),French,Combined,No,P/S
Wamuran State School,1724,North Coast,Moreton Bay (R),Chinese,Primary,No,P
Wandoan State School,1296,Darling Downs South West,Western Downs (R),German,Combined,No,P/S
Waraburra State School,1971,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Warra State School,0386,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Warrigal Road State School,1885,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Warrill View State School,1230,South East,Scenic Rim (R),French,Primary,No,P
Wartburg State School,1159,North Coast,Gladstone (R),Indonesian,Primary,No,P
Warwick Central State School,0116,Darling Downs South West,Southern Downs (R),Japanese,Primary,No,P
Warwick East State School,0225,Darling Downs South West,Southern Downs (R),Japanese,Primary,No,P
Warwick State High School,2015,Darling Downs South West,Southern Downs (R),Japanese,Secondary,No,S
Warwick West State School,1152,Darling Downs South West,Southern Downs (R),French,Primary,No,P
Waterford State School,0130,South East,Logan (C),Chinese,Primary,No,P
Waterford West State School,1856,South East,Logan (C),LOTE,Primary,No,P
Watson Road State School,0584,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Wavell Heights State School,1149,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Wavell State High School,2048,Metropolitan,Brisbane (C),French,Secondary,No,S
Wavell State High School,2048,Metropolitan,Brisbane (C),German,Secondary,No,S
Wavell State High School,2048,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Weir State School,0395,North Queensland,Townsville (C),Japanese,Primary,No,P
Wellcamp State School,0855,Darling Downs South West,Toowoomba (R),German,Primary,No,P
Wellers Hill State School,1844,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Wellington Point State High School,2178,South East,Redland (C),Japanese,Secondary,No,S
Wellington Point State School,0273,South East,Redland (C),Japanese,Primary,No,P
West End State School,0212,Metropolitan,Brisbane (C),Chinese,Primary,No,P
West End State School,0212,Metropolitan,Brisbane (C),French,Primary,No,P
West End State School,0212,Metropolitan,Brisbane (C),Greek,Primary,No,P
West End State School,0212,Metropolitan,Brisbane (C),Japanese,Primary,No,P
West End State School,0212,Metropolitan,Brisbane (C),LOTE,Primary,No,P
Western Cape College - Weipa,1407,Far North Queensland,Weipa (T),Japanese,Combined,No,S
Westmar State School,1244,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Westwood State School,0119,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Wheatlands State School,1405,Darling Downs South West,South Burnett (R),Japanese,Primary,No,P
Wheatvale State School,1147,Darling Downs South West,Southern Downs (R),French,Primary,No,P
White Rock State School,1978,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Whites Hill State College,2410,Metropolitan,Brisbane (C),Chinese,Combined,No,P/S
Whites Hill State College,2410,Metropolitan,Brisbane (C),Japanese,Combined,No,S
Whitfield State School,1980,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Widgee State School,0669,North Coast,Gympie (R),Japanese,Primary,No,P
William Duncan State School,1972,South East,Gold Coast (C),Japanese,Primary,No,P
William Ross State High School,2186,North Queensland,Townsville (C),Chinese,Secondary,No,S
William Ross State High School,2186,North Queensland,Townsville (C),Japanese,Secondary,No,S
Wilsonton State School,0394,Darling Downs South West,Toowoomba (R),Japanese,Primary,No,P
Wilston State School,1485,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Windaroo State School,1990,South East,Logan (C),Japanese,Primary,No,P
Windaroo Valley State High School,2189,South East,Logan (C),Japanese,Secondary,No,S
Windera State School,0292,Darling Downs South West,South Burnett (R),Japanese,Primary,No,P
Windsor State School,0011,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Winfield State School,0603,North Coast,Bundaberg (R),Indonesian,Primary,No,P
Winton State School,0478,Central Queensland,Winton (S),Japanese,Combined,No,S
Wishart State School,0633,Metropolitan,Brisbane (C),French,Primary,No,P
Wishart State School,0633,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Withcott State School,1930,Darling Downs South West,Lockyer Valley (R),Japanese,Primary,No,P
Wolvi State School,0881,North Coast,Gympie (R),German,Primary,No,P
Wondai State School,1065,Darling Downs South West,South Burnett (R),Japanese,Combined,No,P
Wondall Heights State School,0416,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Wonga Beach State School,1614,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Woodcrest State College,0456,Metropolitan,Ipswich (C),Japanese,Combined,No,P/S
Woodford State School,0370,North Coast,Moreton Bay (R),Japanese,Combined,No,P/S
Woodhill State School,0122,South East,Logan (C),Japanese,Primary,No,P
WoodLinks State School,7121,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Woodridge North State School,0647,South East,Logan (C),Japanese,Primary,No,P
Woodridge State High School,2128,South East,Logan (C),French,Secondary,No,S
Woodridge State High School,2128,South East,Logan (C),Indonesian,Secondary,No,S
Woodridge State School,0704,South East,Logan (C),Indonesian,Primary,No,P
Woodstock State School,0615,North Queensland,Townsville (C),Chinese,Primary,No,P
Woolooga State School,1378,North Coast,Gympie (R),Japanese,Primary,No,P
Wooloowin State School,1463,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Woombye State School,0476,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Woongarra State School,0350,North Coast,Bundaberg (R),German,Primary,No,P
Woongoolba State School,0039,South East,Gold Coast (C),German,Primary,No,P
Woorabinda State School,0617,Central Queensland,Woorabinda (S),LOTE,Primary,No,P
Wooroolin State School,0947,Darling Downs South West,South Burnett (R),German,Primary,No,P
Woree State School,1902,Far North Queensland,Cairns (R),Italian,Primary,No,P
Worongary State School,1993,South East,Gold Coast (C),Japanese,Primary,No,P
Wowan State School,0919,Central Queensland,Banana (S),Japanese,Primary,No,P
Wulguru State School,0547,North Queensland,Townsville (C),Chinese,Primary,No,P
Wynnum State High School,2021,Metropolitan,Brisbane (C),French,Secondary,No,S
Wynnum State High School,2021,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Wynnum State School,6981,Metropolitan,Brisbane (C),French,Primary,No,P
Wynnum West State School,1765,Metropolitan,Brisbane (C),French,Primary,No,P
Wyreema State School,0524,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Yandaran State School,1634,North Coast,Bundaberg (R),Japanese,Primary,No,P
Yandina State School,0491,North Coast,Sunshine Coast (R),Italian,Primary,No,P
Yangan State School,0151,Darling Downs South West,Southern Downs (R),French,Primary,No,P
Yarrabah State School,1303,Far North Queensland,Yarrabah (S),LOTE,Combined,No,P
Yarraman State School,0967,Darling Downs South West,Toowoomba (R),Indonesian,Combined,No,P/S
Yarrilee State School,1746,North Coast,Fraser Coast (R),Chinese,Primary,No,P
Yarwun State School,1098,Central Queensland,Gladstone (R),Korean,Primary,No,P
Yelarbon State School,1346,Darling Downs South West,Goondiwindi (R),French,Primary,No,P
Yeppoon State High School,2123,Central Queensland,Rockhampton (R),Japanese,Secondary,No,S
Yeppoon State School,0442,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Yeronga State High School,2054,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Yeronga State High School,2054,Metropolitan,Brisbane (C),German,Secondary,No,S
Yeronga State High School,2054,Metropolitan,Brisbane (C),Vietnamese,Secondary,No,S
Yorkeys Knob State School,0757,Far North Queensland,Cairns (R),Italian,Primary,No,P
Yugumbir State School,1954,South East,Logan (C),Indonesian,Primary,No,P
Zillmere State School,0275,Metropolitan,Brisbane (C),Indonesian,Primary,No,P
